KeyWordID,Name,Description,Category,etc
KWF10061,KeyWordFrontName53,업적 '한계 돌파 3' 달성,Achievement_Single,
KWF10062,KeyWordFrontName54,업적 '느긋한 성장' 달성,Achievement_Single,
KWF10063,KeyWordFrontName55,업적 '압도적인 힘' 달성,Achievement_Single,
KWF10064,KeyWordFrontName56,업적 '약한 자들의 연대' 달성,Achievement_Single,
KWF10065,KeyWordFrontName57,업적 '타임어택' 달성,Achievement_Single,
KWF10066,KeyWordFrontName58,업적 '진짜 같은 가짜 1' 달성,Achievement_BattleExpert,
KWF10067,KeyWordFrontName59,업적 '부술 수 없는 방패' 달성,Achievement_BattleExpert,
KWF10068,KeyWordFrontName60,업적 '내가 제일 강해 1' 달성,Achievement_BattleExpert,
KWF10069,KeyWordFrontName61,업적 '내가 제일 강해 2' 달성,Achievement_BattleExpert,
KWF10070,KeyWordFrontName62,업적 '철벽 요새' 달성,Achievement_BattleExpert,
KWF10071,KeyWordFrontName63,업적 '마나 폭풍 1' 달성,Achievement_BattleExpert,
KWF10072,KeyWordFrontName64,업적 '마나 폭풍 2' 달성,Achievement_BattleExpert,
KWF10073,KeyWordFrontName65,업적 '강철 심장' 달성,Achievement_BattleExpert,
KWF10074,KeyWordFrontName66,업적 '전광석화' 달성,Achievement_BattleExpert,
KWF10075,KeyWordFrontName68,알파테스터 전용 칭호,AlphaTesterOnly,
