Id,Highlight,Mask,ClickEntity,TargetPath,TargetPathFix,GuideTextKey,TextVisible,FuncOnTouch,AutoNext,TouchAnywhere,Alignment,OffsetX,OffsetY,ForceTo,funcExecute,executeParam1,executeParam2,funcCallback,callbackParam1,callbackParam2
T1302_3,,True,,/ui/TrainingSettingGroup/Panel/EmployeeScroll,HaveTrainingSkillEmployee,EventT1302DL3,,,,True,BottomLeft,35,45,,,,,,,
T1303_1,,,,/ui/TrainingGroup/GuidePopup,,,False,,,True,,,,,OpenUI,TrainingGuidePopup,,,,
T1303_2,True,True,,/ui/TrainingGroup/MapButton,,EventT1303DL7,,,,,TopLeft,20,,,,,,,,
T1303_3,True,True,,/ui/TrainingGroup/Map/Spot06,,EventT1303DL8,,,,,TopLeft,,,,,,,,,
T1303_4,,True,,/ui/TrainingGroup/Map/Tut_Token,,EventT1303DL9,,,,True,TopLeft,380,200,,,,,,,
T1304_5,,,,/ui/TrainingGroup/HintPopup/HintPanel/CloseButton,,EventT1304DL1,,,,True,ScreenTopCenter,,,,,,,,,
T1304_6,,True,,/ui/TrainingGroup/Map/Tut_HintBox,,EventT1304DL2,,,,True,ScreenTopCenter,,,,,,,,,
T1305_7,True,,,/ui/TrainingGroup/Map/StartButton,,EventT1305DL1,,,,,ScreenTopCenter,,,TrainingSelectSpot,,,,,,
T1306_1,True,True,,/ui/TrainingSettingGroup/Panel/ShopButton,,EventT1306DL3,,,,,TopRight,80,-160,,,,,,,
T1306_2,,True,,/ui/UIShopGroup/UIShop/ContextMenu/Context,,,False,,True,,,,,,,,,,,
T1306_3,True,True,,/ui/UIShopGroup/UIShop/TopMenu/CloseButton,,EventT1306DL6,,,,,BottomRight,-30,30,,,,,,,
T1306_4,,True,,/ui/TrainingSettingGroup/UpgradePanel,,EventT1306DL8,,,,True,ScreenTopCenter,,,,,,,,,
T1401_1,True,True,,/ui/LobbyHUDGroup/LeftTop/Management,,EventT1401DL3,,,,,BottomRight,-25,,,,,,,,
T1401_2,,,,/ui/ManagementGroup/UIManagement,,,False,,True,,,,,,OpenUI,ToDo,,,,
T1402_1,True,True,,/ui/LobbyHUDGroup/LeftTop/Management,,EventT1402DL1,,,,,BottomRight,-25,,,ClearAllUI,,,,,
T1501_1,True,True,,/ui/LobbyHUDGroup/MainMenuButton,,EventT1501DL4,,,,,TopLeft,10,-15,,,,,,,
T1501_2,True,True,,/ui/LobbyHUDGroup/MainMenuPanel/UIMainMenu/MainMenuContents/MainMenuTitle_Group3/MainMenuContents_Group3/Menu_Trial,,EventT1501DL5,,,,,TopRight,130,-160,,OpenUI,ToDo,,,,
T1501_3,,True,,/ui/TrialGroup/UITrialSelect/TrialList,,,False,,True,,,,,,,,,,,
T1502_1,,True,,/ui/RecipeSetGroup/UIRecipeList/RecipeScroll,RecipeListFirstEnable,EventT1502DL1,,,,True,BottomRight,5,-240,,,,,,,
T1502_2,,True,,/ui/RecipeSetGroup/UIRecipeList/TopBar/Trial/ResultGuess,,EventT1502DL2,,,,True,TopRight,50,-50,,,,,,,
T1503_1,,,,/ui/RecipeSetGroup/UIRecipeList,,,False,,True,,,,,,OpenUI,RecipeList,,,,
T1503_2,,True,,/ui/RecipeSetGroup/UIRecipeList/RecipeScroll,RecipeListTrialBuff,EventT1503DL3,,,,True,ScreenTopCenter,,-160,,,,,,,
T1503_3,,True,,/ui/RecipeSetGroup/UIRecipeList/RecipeScroll,RecipeListTrialBuff,EventT1503DL4,,,,True,ScreenTopCenter,,-160,,,,,CloseUI,RecipeList,
T1602_1,True,,,/ui/VIPOrderGroup/VIPOrderNewSeasonPopupDim/Panel/PeriodInfo,,EventT1602DL3,,,,True,ScreenTopCenter,,-100,,,,,,,
T1602_2,True,,,/ui/VIPOrderGroup/VIPOrderNewSeasonPopupDim/Panel/MainTagInfo,,EventT1602DL4,,,,True,ScreenTopCenter,,-100,,,,,CloseUI,VIPOrderNewSeasonPopup,
T1602_3,,True,,/ui/VIPOrderGroup/VIPOrderPanel/OrderInfo/OrderList,,EventT1602DL5,,,,True,ScreenTopCenter,,-400,,OpenUI,ToDo,,,,
T1602_4,,True,,/ui/VIPOrderGroup/VIPOrderPanel/OrderInfo/Tut_VIPOrderCountBar,,EventT1602DL6,,,,True,BottomLeft,25,50,,,,,,,
T1602_5,,True,,/ui/VIPOrderGroup/VIPOrderPanel/SeasonInfo/MiddleArea,,EventT1602DL9,,,,True,BottomLeft,,50,,,,,,,
T1603_1,,True,,/ui/RecipeSetGroup/UIRecipeList/TopBar/VIPOrder/Tut_VIPOrderRequirements,,EventT1603DL1,,,,True,BottomRight,-650,-60,,,,,,,
T1603_2,,True,,/ui/RecipeSetGroup/UIRecipeList/ButtonArea/VIPOrder/Tut_VIPOrderMoveToMakeBtn,,EventT1603DL2,,,,True,TopLeft,5,-50,,,,,,,
T1701_1,,,,/maps/Lobby_Stage_1,LackOfStatEmployee,EventT1701DL1,,,,True,TopRight,,,,ZoomToTarget,,,,,
T1701_2,,True,,/ui/LobbyHUDGroup/EmployeeInfo/HUDEmployeeDetail,,,False,,True,,,,,,,,,,,
T1701_3,,True,,/ui/LobbyHUDGroup/EmployeeInfo/StoreInfoBtn,,EventT1701DL5,,,,True,TopLeft,20,-50,,,,,,,
T1701_4,,True,,/ui/StoreInfoGroup/UIStoreInfo/InfoArea/UIEmployeeReview/EmployeeReviewList,,EventT1701DL6,,,,True,ScreenTopCenter,,-350,,,,,,,
T1701_5,,True,,/ui/StoreInfoGroup/UIStoreInfo/InfoArea/UIEmployeeReview/EmployeeReviewScroll,FirstReviewEmpBtnHolder,EventT1701DL7,,,,True,BottomLeft,-200,220,,,,,,,
T1702_1,,True,,/ui/EmployeeUpgradeGroup/Main/ItemSlotGroup/LvUpGroup/ChangeStatGroup/ItemSlot,,EventT1702DL1,,,,True,BottomLeft,-65,45,,,,,,,
T1702_2,,True,,/ui/EmployeeUpgradeGroup/Tut_ShopButton,,EventT1702DL2,,,,True,TopRight,110,-170,,,,,,,
T1702_3,,True,,/ui/EmployeeUpgradeGroup/Main/ItemSlotGroup/LvUpGroup/ChangeStatGroup/Model_LevelUpGroup,,EventT1702DL3,,,,True,TopLeft,-80,-50,,,,,,,
T1801_1,,,,/maps/Lobby_Stage_1/CustomerGroup,CustomerFeedbackUI,EventT1801DL1,,,,True,ScreenTopCenter,,,,ZoomToTarget,,,,,
T1801_2,,True,,/ui/StoreInfoGroup/UIStoreInfo/InfoArea/UICustomerReview/CustomerReviewList,"CustomerReview, 10002",,False,,True,,,,,,OpenUI,ToDo,,,,
T5101_1,True,True,,/ui/RecipeGroup/UIIngreCardSetting/OpenIngreGachaBtn,,EventT5101DL1,,,,,TopLeft,20,-50,,,,,,,
T5101_2,,True,,/ui/RecipeGroup/UIIngreGachaDim/BG/GachaSlots,,EventT5101DL2,,,,True,ScreenTopCenter,,-450,,,,,,,
T5101_3,,,,/ui/UIShopGroup/UIShop,,,False,,True,,,,,,OpenUI,Shop,4,,,
T5102_1,True,True,,/ui/RecipeGroup/UIIngreCardSetting/LeftArea/BunSetArea/SelectBtn,,EventT5102DL1,,,,,TopRight,110,-150,,,,,,,
T5102_2,True,True,,/ui/RecipeGroup/UIBunListDim/Bg/BunList,"BunId, 4",EventT5102DL2,,,,,TopLeft,35,,,,,,,,
T5102_3,,True,,/ui/RecipeGroup/UIBunListDim/Bg/BunDetail/InfoBar/BG/Tut_BunTagBonus,,EventT5102DL3,,,,True,TopRight,,-50,,,,,,,
T5401_1,,True,,/ui/StoreRankingGroup/StoreRanking/Rank1Info,,EventT5401DL2,,,,True,TopLeft,-10,,,,,,,,
T5401_2,,True,,/ui/StoreRankingGroup/StoreRanking/Rank1Info/Rank1Record,,EventT5401DL3,,,,True,TopLeft,-25,-60,,,,,,,
T5401_3,,True,,/ui/StoreRankingGroup/StoreRanking/Tut_ReexamButton,,EventT5401DL5,,,,True,TopLeft,15,-50,,,,,,,
T5701_1,True,True,,/ui/EmployeeUpgradeGroup/Main/ItemSlotGroup/StatCategory/OverLimit,,EventT5701DL2,,,,,BottomRight,,50,,,,,,,
T5701_2,,True,,/ui/EmployeeUpgradeGroup/Main/ItemSlotGroup/OverLimitGroup/Tut_EffectArea,,,False,,True,,,,,,,,,,,
T5701_3,,True,,/ui/EmployeeUpgradeGroup/Tut_ShopButton,,EventT5701DL6,,,,,TopRight,110,-170,,,,,,,
T5801_1,True,True,,/ui/LobbyHUDGroup/ButtonsScroll/Store,,EventT5801DL3,,,,,TopLeft,35,-50,,ClearAllUI,,,,,
T5801_2,,True,,/ui/LobbyHUDGroup/StoreManageSlide,,,False,,True,,,,,,,,,,,
T5901_1,True,True,,/ui/ChuchuCollectionGroup/StgChuchuGroupLists/Item1/ChuchuSlots/1,,EventT5901DL2,,,,,BottomRight,-25,,,,,,,,
T5901_2,,True,,/ui/ChuchuCollectionGroup/ChuchuInfoPanel/EquipPanel,,EventT5901DL4,,,,True,TopLeft,-10,-50,,,,,,,
T5901_3,,True,,/ui/ChuchuCollectionGroup/CollectionProgress,,EventT5901DL8,,,,True,BottomLeft,,45,,,,,,,
T5901_4,,True,,/ui/ChuchuCollectionGroup/CollectionBonus,,EventT5901DL9,,,,True,BottomLeft,,45,,,,,,,
T5902_1,True,True,,/ui/ChuchuCollectionGroup/StgChuchuGroupLists,SelectedEmpCollectionGroupSetBtn,EventT5902DL6,,,,,BottomLeft,80,50,,,,,,,
T5902_2,,True,,/ui/ChuchuCollectionGroup/GroupInfoPanel,,,False,,True,,,,,,,,,,,
T5903_1,,,,/ui/EmployeeManageGroup/Main/Model_EmployeeDetail,,,False,,True,,,,,,OpenUI,ForceEmployeeManageAfterOverLimit,,,,
T5903_2,,True,,/ui/EmployeeManageGroup/Main/Model_EmployeeDetail/Skill1,,,False,,True,,,,,,,,,,,
T5903_3,,True,,/ui/EmployeeManageGroup/Main/Model_EmployeeDetail/Skill2,,,False,,True,,,,,,,,,,,
T5903_4,,True,,/ui/EmployeeManageGroup/Main/Model_EmployeeDetail/Btn_Collection/TouchArea,,,False,,True,,,,,,,,,,,
T5903_5,True,True,,/ui/EmployeeManageGroup/Main/Model_EmployeeDetail/Btn_Collection/TouchArea,,EventT5903DL13,,,,True,TopLeft,250,250,,,,,,,
T6001_1,True,True,,/ui/ExchangeSettingGroup/ExchangeSetting/SelectRewardBox,,EventT6001DL2,,,,True,BottomRight,40,,,,,,,,
T6001_2,True,True,,/ui/ExchangeSettingGroup/ShowResult,,EventT6001DL5,,,,True,ScreenTopCenter,,-250,,OpenUI,Exchange,,,,
T6002_1,,True,,/ui/ExchangeGroup/MiniGamePanel/SelectMenuBox,,EventT6002DL3,,,,True,ScreenTopCenter,,-430,,,,,,,
T6002_2,,True,,/ui/ExchangeGroup/MiniGamePanel/SelectedMenu,,EventT6002DL5,,,,True,ScreenTopCenter,,-80,,,,,,,
T2001_1,True,True,,/ui/LobbyHUDGroup/ButtonsScroll/MoveNextStageBtn,,EventT2001DL3,,,,,TopLeft,30,-40,,ClearAllUI,,,,,
T2001_2,True,True,,/ui/StageInfoGroup/StageSelect/ButtonBar/StartNewButton,,EventT2001DL6,,,,,TopLeft,20,-30,,,,,,,
T2003_1,,True,,/ui/StageInfoGroup/StageSetting/SettingPages/StageInfo,,EventT2003DL1,,,,True,ScreenTopCenter,,-500,,Wait,2,,,,
T2003_2,True,True,,/ui/StageInfoGroup/StageSetting/ButtonBar/NextButton,,EventT2003DL2,,,,,TopLeft,5,-55,,,,,,,
T2003_3,,True,,/ui/StageInfoGroup/StageSetting/SettingPages/Ingredient/SpecialIngredient,,EventT2003DL4,,,,True,TopRight,50,-45,,,,,,,
T2003_4,True,,,/ui/StageInfoGroup/StageSetting/SettingPages/Ingredient/PromotedIngredient/RerollButton,,EventT2003DL6,,,,,ScreenTopCenter,,,SetPromotedIngre,,,,,,
T2003_5,True,True,,/ui/StageInfoGroup/StageSetting/SettingPages/Employee/CookSlot,,EventT2003DL8,,,,,ScreenTopCenter,,-250,,,,,,,
T2003_6,True,,,/ui/SelectChuchuInCollectionGroup/SelectBtn,,EventT2003DL9,,,,,ScreenTopCenter,,70,"SetStartingEmployee, Cook",,,,,,
T2003_7,True,True,,/ui/StageInfoGroup/StageSetting/SettingPages/Employee/ServingSlot,,EventT2003DL10,,,,,ScreenTopCenter,,-250,,,,,,,
T2003_8,True,,,/ui/SelectChuchuInCollectionGroup/SelectBtn,,EventT2003DL11,,,,,ScreenTopCenter,,70,"SetStartingEmployee, Serving",,,,,,
T2003_9,True,True,,/ui/StageInfoGroup/StageSetting/ButtonBar/NextButton,,EventT2003DL12,,,,,TopLeft,5,-55,,,,,,,
T2003_10,,,,/ui/StageInfoGroup/StageSetting/SettingPages/Strategy/CurrentState,,EventT2003DL15,,,,,ScreenTopCenter,,-270,SetStrategy,,,,,,
T2003_11,True,True,,/ui/StageInfoGroup/StageSetting/SettingPages/Strategy/MenuBar/UITab2,,EventT2003DL16,,,,,BottomRight,,50,,,,,,,
T2003_12,True,True,,/ui/StageInfoGroup/StageSetting/SettingPages/Strategy/StrategyList,"SideMenuSetButton, 1",EventT2003DL18,,,,,TopRight,190,-140,,,,,,,
T2003_13,,True,,/ui/StageInfoGroup/StageSetting/ButtonBar/Tut_DoneButton,,EventT2003DL19,,,,True,TopLeft,5,-55,,,,,,,
T2004_1,,True,,/ui/StageInfoGroup/StageInfo/Tut_EndStageSettingBtn,,EventT2004DL1,,,,True,TopLeft,5,-55,,,,,,,
T7001_1,True,True,,/ui/LobbyHUDGroup/MainMenuButton,,EventT7001DL13,,,,,TopLeft,10,-15,,,,,,,
T7001_2,True,True,,/ui/LobbyHUDGroup/MainMenuPanel/UIMainMenu/MainMenuContents/MainMenuTitle_Group6/MainMenuContents_Group6/Menu_IngreSynth,,EventT7001DL14,,,,,TopLeft,20,,,,,,,,
T7001_3,True,True,,/ui/IngreSynthGroup/FilterList/FilterBtn1,,EventT7001DL17,,,,,TopLeft,,,,,,,,,
T7001_4,True,True,,/ui/IngreSynthGroup/IngreListBg/IngreList/Item1,,EventT7001DL19,,,,,TopRight,,-45,,,,,,,
T7001_5,True,True,,/ui/IngreSynthGroup/IngreSynthMachine/SelectedIngreList/1,,EventT7001DL20,,,,,TopRight,,-45,,,,,,,
T7001_6,True,True,,/ui/IngreSynthGroup/AutoSetBtn,,EventT7001DL21,,,,,TopLeft,25,-40,,,,,,,
T7001_7,True,True,,/ui/IngreSynthGroup/IngreSynthMachine/TagBtnPanel/TagBtn_1,,EventT7001DL27,,,,,TopRight,,,,,,,,,
T7001_8,,True,,/ui/IngreSynthGroup/StartSynthBtn/Dim,,EventT7001DL29,,,,True,TopRight,25,-40,,,,,,,
