Id,Group,Level,EffectType,EffectValue
Grill5,Grill,5,AddPrice,5
Grill6,Grill,6,AddPrice,6
Grill7,Grill,7,AddPrice,7
Grill8,Grill,8,AddPrice,8
Grill9,Grill,9,AddPrice,9
Grill10,Grill,10,AddPrice,10
Grill11,Grill,11,AddPrice,11
Grill12,Grill,12,AddPrice,12
Grill13,Grill,13,AddPrice,13
Grill14,Grill,14,AddPrice,14
Grill15,Grill,15,AddPrice,15
Grill16,Grill,16,AddPrice,16
Grill17,Grill,17,AddPrice,17
Grill18,Grill,18,AddPrice,18
Grill19,Grill,19,AddPrice,19
Grill20,Grill,20,AddPrice,20
Grill21,Grill,21,AddPrice,21
Grill22,Grill,22,AddPrice,22
Grill23,Grill,23,AddPrice,23
Grill24,Grill,24,AddPrice,24
Grill25,Grill,25,AddPrice,25
Grill26,Grill,26,AddPrice,26
Grill27,Grill,27,AddPrice,27
Grill28,Grill,28,AddPrice,28
Grill29,Grill,29,AddPrice,29
Grill30,Grill,30,AddPrice,30
Grill31,Grill,31,AddPrice,31
Grill32,Grill,32,AddPrice,32
Grill33,Grill,33,AddPrice,33
Grill34,Grill,34,AddPrice,34
Grill35,Grill,35,AddPrice,35
Grill36,Grill,36,AddPrice,36
Grill37,Grill,37,AddPrice,37
Grill38,Grill,38,AddPrice,38
Grill39,Grill,39,AddPrice,39
Grill40,Grill,40,AddPrice,40
Grill41,Grill,41,AddPrice,41
Grill42,Grill,42,AddPrice,42
Grill43,Grill,43,AddPrice,43
Grill44,Grill,44,AddPrice,44
Grill45,Grill,45,AddPrice,45
Grill46,Grill,46,AddPrice,46
Grill47,Grill,47,AddPrice,47
Grill48,Grill,48,AddPrice,48
Grill49,Grill,49,AddPrice,49
Grill50,Grill,50,AddPrice,50
Grill51,Grill,51,AddPrice,51
Grill52,Grill,52,AddPrice,52
Grill53,Grill,53,AddPrice,53
Grill54,Grill,54,AddPrice,54
Grill55,Grill,55,AddPrice,55
Grill56,Grill,56,AddPrice,56
Grill57,Grill,57,AddPrice,57
Grill58,Grill,58,AddPrice,58
Grill59,Grill,59,AddPrice,59
Grill60,Grill,60,AddPrice,60
Grill61,Grill,61,AddPrice,61
Grill62,Grill,62,AddPrice,62
Grill63,Grill,63,AddPrice,63
Grill64,Grill,64,AddPrice,64
Grill65,Grill,65,AddPrice,65
Grill66,Grill,66,AddPrice,66
Grill67,Grill,67,AddPrice,67
Grill68,Grill,68,AddPrice,68
Grill69,Grill,69,AddPrice,69
Grill70,Grill,70,AddPrice,70
Grill71,Grill,71,AddPrice,71
Grill72,Grill,72,AddPrice,72
Grill73,Grill,73,AddPrice,73
Grill74,Grill,74,AddPrice,74
Grill75,Grill,75,AddPrice,75
Grill76,Grill,76,AddPrice,76
Grill77,Grill,77,AddPrice,77
Grill78,Grill,78,AddPrice,78
Grill79,Grill,79,AddPrice,79
Grill80,Grill,80,AddPrice,80
Grill81,Grill,81,AddPrice,81
Grill82,Grill,82,AddPrice,82
Grill83,Grill,83,AddPrice,83
Grill84,Grill,84,AddPrice,84
Grill85,Grill,85,AddPrice,85
Grill86,Grill,86,AddPrice,86
Grill87,Grill,87,AddPrice,87
Grill88,Grill,88,AddPrice,88
Grill89,Grill,89,AddPrice,89
Grill90,Grill,90,AddPrice,90
Grill91,Grill,91,AddPrice,91
Grill92,Grill,92,AddPrice,92
Grill93,Grill,93,AddPrice,93
Grill94,Grill,94,AddPrice,94
Grill95,Grill,95,AddPrice,95
Grill96,Grill,96,AddPrice,96
Grill97,Grill,97,AddPrice,97
Grill98,Grill,98,AddPrice,98
Grill99,Grill,99,AddPrice,99
Grill100,Grill,100,AddPrice,100
