Stage,StageName,Type,Index,PosX,PosY
5,5_DecoCounter7,Counter,7,7.5,4.5
5,5_DecoCounter8,Counter,8,8.5,4.5
5,5_DecoCounter9,Counter,9,9.5,4.5
5,5_DecoCounter10,Counter,10,10.5,4.5
5,5_DecoCounter11,Counter,11,12.5,4.5
5,5_DecoCounter12,Counter,12,13.5,4.5
5,5_DecoCounter13,Counter,13,14.5,4.5
5,5_DecoCounter14,Counter,14,15.5,4.5
5,5_DecoCounter15,Counter,15,16.5,4.5
6,6_DecoDisplay1,Display,1,0.46252059936523,8.8
6,6_DecoDisplay2,Display,2,1.4625205993652,8.8
6,6_DecoDisplay3,Display,3,2.4625205993652,8.8
6,6_DecoDisplay4,Display,4,3.4625205993652,8.8
6,6_DecoDisplay5,Display,5,4.4625205993652,8.8
6,6_DecoDisplay6,Display,6,6.4625205993652,8.8
6,6_DecoDisplay7,Display,7,7.4625205993652,8.8
6,6_DecoDisplay8,Display,8,8.4625205993652,8.8
6,6_DecoDisplay9,Display,9,9.4625205993652,8.8
6,6_DecoDisplay10,Display,10,10.462520599365,8.8
6,6_DecoDisplay11,Display,11,12.462520599365,8.8
6,6_DecoDisplay12,Display,12,13.462520599365,8.8
6,6_DecoDisplay13,Display,13,14.462520599365,8.8
6,6_DecoDisplay14,Display,14,15.462520599365,8.8
6,6_DecoDisplay15,Display,15,16.462520599365,8.8
6,6_DecoGrill1,Grill,1,0.15261459350586,10.518165588379
6,6_DecoGrill2,Grill,2,2.5526146888733,10.518165588379
6,6_DecoGrill3,Grill,3,4.9526147842407,10.518165588379
6,6_DecoGrill4,Grill,4,7.352614402771,10.518165588379
6,6_DecoGrill5,Grill,5,9.7526149749756,10.518165588379
6,6_DecoGrill6,Grill,6,12.152614593506,10.518165588379
6,6_DecoGrill7,Grill,7,14.552614212036,10.518165588379
6,6_DecoGrill8,Grill,8,16.952615737915,10.518165588379
6,6_DecoGrill9,Grill,9,1.3526146411896,12.318164825439
6,6_DecoGrill10,Grill,10,3.7526144981384,12.318164825439
6,6_DecoGrill11,Grill,11,6.1526145935059,12.318164825439
6,6_DecoGrill12,Grill,12,8.5526142120361,12.318164825439
6,6_DecoGrill13,Grill,13,10.952614784241,12.318164825439
6,6_DecoGrill14,Grill,14,13.352614402771,12.318164825439
6,6_DecoGrill15,Grill,15,15.752614974976,12.318164825439
6,6_DecoCounter1,Counter,1,0.5151309967041,6.5208053588867
6,6_DecoCounter2,Counter,2,1.5151309967041,6.5208053588867
6,6_DecoCounter3,Counter,3,2.5151309967041,6.5208053588867
6,6_DecoCounter4,Counter,4,3.5151309967041,6.5208053588867
6,6_DecoCounter5,Counter,5,4.5151309967041,6.5208053588867
6,6_DecoCounter6,Counter,6,6.5151309967041,6.5208053588867
6,6_DecoCounter7,Counter,7,7.5151309967041,6.5208053588867
6,6_DecoCounter8,Counter,8,8.5151309967041,6.5208053588867
6,6_DecoCounter9,Counter,9,9.5151309967041,6.5208053588867
6,6_DecoCounter10,Counter,10,10.515130996704,6.5208053588867
6,6_DecoCounter11,Counter,11,12.515130996704,6.5208053588867
6,6_DecoCounter12,Counter,12,13.515130996704,6.5208053588867
6,6_DecoCounter13,Counter,13,14.515130996704,6.5208053588867
6,6_DecoCounter14,Counter,14,15.515130996704,6.5208053588867
6,6_DecoCounter15,Counter,15,16.515130996704,6.5208053588867
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
